id,household_id,name,category,is_healthy,description,prep_time,cook_time,servings,difficulty,meat_type,cuisine_category,ingredients,instructions,nutrition,tags
"r011","clara-pascal","Penne Arrabbiata","Abendessen","true","Scharfe Tomatensoße mit Knoblauch und Chili.","10","20","2","einfach","keins","pasta","[{""name"":""Penne"",""amount"":250,""unit"":""g"",""category"":""getreide""},{""name"":""Tomaten (Dose)"",""amount"":400,""unit"":""g"",""category"":""gemuese""},{""name"":""Knoblauch"",""amount"":4,""unit"":""Zehen"",""category"":""gewuerze""},{""name"":""Chiliflocken"",""amount"":1,""unit"":""TL"",""category"":""gewuerze""},{""name"":""Olivenöl"",""amount"":3,""unit"":""EL"",""category"":""sonstiges""},{""name"":""Petersilie"",""amount"":1,""unit"":""Bund"",""category"":""gewuerze""}]","[""Knoblauch und Chili in Öl anbraten."",""Tomaten zugeben und 15 Min. einkochen."",""Penne kochen und mit Soße vermengen.""]","{""calories"":390,""protein"":12,""carbs"":64,""fat"":10,""fiber"":5}","[""pasta"",""vegetarisch"",""scharf""]"
"r012","clara-pascal","Tagliatelle mit Rinder-Ragù","Abendessen","false","Langsam geschmortes Rindfleisch-Ragù über breite Nudeln.","20","120","2","anspruchsvoll","rind","pasta","[{""name"":""Tagliatelle"",""amount"":250,""unit"":""g"",""category"":""getreide""},{""name"":""Rindergulasch"",""amount"":500,""unit"":""g"",""category"":""fleisch""},{""name"":""Tomaten (Dose)"",""amount"":400,""unit"":""g"",""category"":""gemuese""},{""name"":""Rotwein"",""amount"":150,""unit"":""ml"",""category"":""getraenke""},{""name"":""Karotten"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Sellerie"",""amount"":2,""unit"":""Stangen"",""category"":""gemuese""},{""name"":""Zwiebel"",""amount"":1,""unit"":""Stück"",""category"":""gemuese""}]","[""Fleisch scharf anbraten, Gemüse zugeben."",""Rotwein und Tomaten hinzufügen."",""2 Stunden langsam schmoren."",""Tagliatelle kochen und mit Ragù servieren.""]","{""calories"":560,""protein"":38,""carbs"":55,""fat"":20,""fiber"":5}","[""pasta"",""rind"",""schmoren""]"
"r013","clara-pascal","Carbonara Light","Abendessen","false","Leichtere Variante mit weniger Sahne, mehr Ei.","10","15","2","einfach","schwein","pasta","[{""name"":""Spaghetti"",""amount"":250,""unit"":""g"",""category"":""getreide""},{""name"":""Speck"",""amount"":150,""unit"":""g"",""category"":""fleisch""},{""name"":""Eier"",""amount"":3,""unit"":""Stück"",""category"":""milchprodukte""},{""name"":""Parmesan"",""amount"":60,""unit"":""g"",""category"":""milchprodukte""},{""name"":""Pfeffer"",""amount"":1,""unit"":""TL"",""category"":""gewuerze""}]","[""Speck knusprig braten. Spaghetti kochen."",""Eier mit Parmesan verquirlen."",""Nudeln abgießen, mit Speck und Ei-Mischung vermengen.""]","{""calories"":520,""protein"":28,""carbs"":58,""fat"":20,""fiber"":3}","[""pasta"",""schwein"",""klassiker""]"
"r014","clara-pascal","Lasagne klassisch","Abendessen","false","Schichten aus Nudeln, Hackfleisch und Béchamel.","30","45","2","mittel","rind","auflauf","[{""name"":""Lasagneplatten"",""amount"":250,""unit"":""g"",""category"":""getreide""},{""name"":""Rinderhackfleisch"",""amount"":400,""unit"":""g"",""category"":""fleisch""},{""name"":""Tomaten (Dose)"",""amount"":400,""unit"":""g"",""category"":""gemuese""},{""name"":""Milch"",""amount"":500,""unit"":""ml"",""category"":""milchprodukte""},{""name"":""Butter"",""amount"":50,""unit"":""g"",""category"":""milchprodukte""},{""name"":""Mehl"",""amount"":50,""unit"":""g"",""category"":""getreide""},{""name"":""Mozzarella"",""amount"":200,""unit"":""g"",""category"":""milchprodukte""}]","[""Hacksoße und Béchamel zubereiten."",""Schichtweise in Form legen: Soße, Platten, Béchamel."",""Mit Mozzarella bestreuen und 45 Min. backen.""]","{""calories"":580,""protein"":32,""carbs"":52,""fat"":26,""fiber"":4}","[""auflauf"",""rind"",""pasta""]"
"r015","clara-pascal","Pasta mit Hähnchen und Tomaten","Abendessen","false","Cremige Tomatensoße mit zartem Hähnchen.","15","25","2","einfach","haehnchen","pasta","[{""name"":""Farfalle"",""amount"":250,""unit"":""g"",""category"":""getreide""},{""name"":""Hähnchenbrust"",""amount"":350,""unit"":""g"",""category"":""fleisch""},{""name"":""Tomaten (Dose)"",""amount"":400,""unit"":""g"",""category"":""gemuese""},{""name"":""Sahne"",""amount"":100,""unit"":""ml"",""category"":""milchprodukte""},{""name"":""Basilikum"",""amount"":1,""unit"":""Bund"",""category"":""gewuerze""}]","[""Hähnchen würfeln und anbraten."",""Tomaten und Sahne zugeben, 15 Min. köcheln."",""Farfalle kochen und vermengen.""]","{""calories"":490,""protein"":36,""carbs"":54,""fat"":14,""fiber"":4}","[""pasta"",""haehnchen""]"
"r016","clara-pascal","Nudelsalat mediterran","Abendessen","true","Kalter Nudelsalat mit Tomaten und Paprika.","15","12","2","einfach","keins","salat","[{""name"":""Fusilli"",""amount"":250,""unit"":""g"",""category"":""getreide""},{""name"":""Tomaten"",""amount"":3,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Paprika"",""amount"":1,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Gurke"",""amount"":1,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Olivenöl"",""amount"":4,""unit"":""EL"",""category"":""sonstiges""},{""name"":""Feta"",""amount"":100,""unit"":""g"",""category"":""milchprodukte""}]","[""Nudeln kochen und abkühlen."",""Gemüse würfeln und mit Nudeln vermengen."",""Mit Olivenöl und Feta servieren.""]","{""calories"":380,""protein"":14,""carbs"":48,""fat"":16,""fiber"":4}","[""salat"",""pasta"",""vegetarisch""]"
"r017","clara-pascal","Spaghetti Aglio e Olio","Abendessen","true","Minimalistisch: Knoblauch, Öl und Petersilie.","5","15","2","einfach","keins","pasta","[{""name"":""Spaghetti"",""amount"":250,""unit"":""g"",""category"":""getreide""},{""name"":""Knoblauch"",""amount"":6,""unit"":""Zehen"",""category"":""gewuerze""},{""name"":""Olivenöl"",""amount"":6,""unit"":""EL"",""category"":""sonstiges""},{""name"":""Petersilie"",""amount"":1,""unit"":""Bund"",""category"":""gewuerze""},{""name"":""Chiliflocken"",""amount"":0.5,""unit"":""TL"",""category"":""gewuerze""}]","[""Spaghetti kochen. Knoblauch in Öl langsam goldbraun braten."",""Nudeln mit etwas Kochwasser in die Pfanne."",""Petersilie und Chili unterheben.""]","{""calories"":420,""protein"":11,""carbs"":60,""fat"":16,""fiber"":3}","[""pasta"",""vegetarisch"",""schnell""]"
"r018","clara-pascal","Rigatoni al Forno","Abendessen","false","Überbackene Rigatoni mit Tomaten und Mozzarella.","15","30","2","einfach","keins","auflauf","[{""name"":""Rigatoni"",""amount"":300,""unit"":""g"",""category"":""getreide""},{""name"":""Tomaten (Dose)"",""amount"":400,""unit"":""g"",""category"":""gemuese""},{""name"":""Mozzarella"",""amount"":200,""unit"":""g"",""category"":""milchprodukte""},{""name"":""Parmesan"",""amount"":50,""unit"":""g"",""category"":""milchprodukte""},{""name"":""Basilikum"",""amount"":1,""unit"":""Bund"",""category"":""gewuerze""}]","[""Rigatoni kochen, mit Tomatensoße vermengen."",""In Auflaufform füllen, Käse darüber."",""30 Min. bei 180°C backen.""]","{""calories"":450,""protein"":20,""carbs"":58,""fat"":16,""fiber"":4}","[""auflauf"",""pasta"",""vegetarisch""]"
"r019","clara-pascal","Schweinefilet mit Nudeln","Abendessen","false","Medaillons vom Schweinefilet auf Bandnudeln.","15","20","2","einfach","schwein","pasta","[{""name"":""Schweinefilet"",""amount"":350,""unit"":""g"",""category"":""fleisch""},{""name"":""Tagliatelle"",""amount"":250,""unit"":""g"",""category"":""getreide""},{""name"":""Sahne"",""amount"":150,""unit"":""ml"",""category"":""milchprodukte""},{""name"":""Senf"",""amount"":1,""unit"":""TL"",""category"":""gewuerze""},{""name"":""Petersilie"",""amount"":1,""unit"":""Bund"",""category"":""gewuerze""}]","[""Filet in Medaillons schneiden und braten."",""Sahne-Senf-Soße zubereiten."",""Tagliatelle kochen und mit Medaillons servieren.""]","{""calories"":540,""protein"":40,""carbs"":52,""fat"":18,""fiber"":3}","[""schwein"",""pasta""]"
"r020","clara-pascal","Tomaten-Basilikum-Pasta","Abendessen","true","Frische Kirschtomaten mit Basilikum und Knoblauch.","10","15","2","einfach","keins","pasta","[{""name"":""Linguine"",""amount"":250,""unit"":""g"",""category"":""getreide""},{""name"":""Kirschtomaten"",""amount"":400,""unit"":""g"",""category"":""gemuese""},{""name"":""Basilikum"",""amount"":2,""unit"":""Bund"",""category"":""gewuerze""},{""name"":""Knoblauch"",""amount"":3,""unit"":""Zehen"",""category"":""gewuerze""},{""name"":""Olivenöl"",""amount"":4,""unit"":""EL"",""category"":""sonstiges""}]","[""Tomaten halbieren, mit Knoblauch in Öl anbraten."",""Linguine kochen und unterheben."",""Frisches Basilikum unterrühren.""]","{""calories"":400,""protein"":12,""carbs"":62,""fat"":12,""fiber"":5}","[""pasta"",""vegetarisch"",""sommer""]"
"r021","clara-pascal","Kartoffel-Hack-Auflauf mediterran","Abendessen","true","Kartoffel-Hack-Auflauf mediterran – ein gesundes, hausgemachtes Gericht für zwei Personen.","10","15","2","einfach","rind","auflauf","[{""name"":""Rinderhackfleisch"",""amount"":300,""unit"":""g"",""category"":""fleisch""},{""name"":""Kartoffeln"",""amount"":2,""unit"":""Stück"",""category"":""getreide""},{""name"":""Zwiebel"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Paprika"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Olivenöl"",""amount"":2,""unit"":""EL"",""category"":""sonstiges""},{""name"":""Salz & Pfeffer"",""amount"":1,""unit"":""Prise"",""category"":""gewuerze""}]","[""Alle Zutaten vorbereiten und schneiden."",""Fleisch würzen und in der Pfanne/Ofen garen."",""Weitere Zutaten hinzufügen und nach Rezeptart zubereiten."",""Anrichten und sofort servieren.""]","{""calories"":250,""protein"":15,""carbs"":20,""fat"":8,""fiber"":2}","[""auflauf"",""rind"",""mediterran""]"
"r022","clara-pascal","Zucchini-Tomaten-Auflauf mediterran","Abendessen","true","Zucchini-Tomaten-Auflauf mediterran – ein gesundes, hausgemachtes Gericht für zwei Personen.","11","16","2","einfach","keins","auflauf","[{""name"":""Zucchini"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Tomaten"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Zwiebel"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Olivenöl"",""amount"":2,""unit"":""EL"",""category"":""sonstiges""},{""name"":""Salz & Pfeffer"",""amount"":1,""unit"":""Prise"",""category"":""gewuerze""}]","[""Alle Zutaten vorbereiten und schneiden."",""Gemüse vorbereiten und würzen."",""Weitere Zutaten hinzufügen und nach Rezeptart zubereiten."",""Anrichten und sofort servieren.""]","{""calories"":251,""protein"":16,""carbs"":21,""fat"":9,""fiber"":3}","[""auflauf"",""vegetarisch"",""mediterran""]"
"r023","clara-pascal","Hähnchen-Reis-Auflauf mediterran","Abendessen","true","Hähnchen-Reis-Auflauf mediterran – ein gesundes, hausgemachtes Gericht für zwei Personen.","12","17","2","einfach","haehnchen","auflauf","[{""name"":""Hähnchenbrust"",""amount"":400,""unit"":""g"",""category"":""fleisch""},{""name"":""Reis"",""amount"":2,""unit"":""Stück"",""category"":""getreide""},{""name"":""Paprika"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Tomaten"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Olivenöl"",""amount"":2,""unit"":""EL"",""category"":""sonstiges""},{""name"":""Salz & Pfeffer"",""amount"":1,""unit"":""Prise"",""category"":""gewuerze""}]","[""Alle Zutaten vorbereiten und schneiden."",""Fleisch würzen und in der Pfanne/Ofen garen."",""Weitere Zutaten hinzufügen und nach Rezeptart zubereiten."",""Anrichten und sofort servieren.""]","{""calories"":252,""protein"":17,""carbs"":22,""fat"":10,""fiber"":4}","[""auflauf"",""haehnchen"",""mediterran""]"
"r024","clara-pascal","Nudel-Schinken-Auflauf mediterran","Abendessen","true","Nudel-Schinken-Auflauf mediterran – ein gesundes, hausgemachtes Gericht für zwei Personen.","13","18","2","einfach","schwein","auflauf","[{""name"":""Schweinefleisch"",""amount"":300,""unit"":""g"",""category"":""fleisch""},{""name"":""Nudeln"",""amount"":2,""unit"":""Stück"",""category"":""getreide""},{""name"":""Tomaten"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Olivenöl"",""amount"":2,""unit"":""EL"",""category"":""sonstiges""},{""name"":""Salz & Pfeffer"",""amount"":1,""unit"":""Prise"",""category"":""gewuerze""}]","[""Alle Zutaten vorbereiten und schneiden."",""Fleisch würzen und in der Pfanne/Ofen garen."",""Weitere Zutaten hinzufügen und nach Rezeptart zubereiten."",""Anrichten und sofort servieren.""]","{""calories"":253,""protein"":18,""carbs"":23,""fat"":11,""fiber"":5}","[""auflauf"",""schwein"",""mediterran""]"
"r025","clara-pascal","Kartoffel-Schweinehack-Gratin mediterran","Abendessen","true","Kartoffel-Schweinehack-Gratin mediterran – ein gesundes, hausgemachtes Gericht für zwei Personen.","14","19","2","einfach","schwein","auflauf","[{""name"":""Schweinefleisch"",""amount"":350,""unit"":""g"",""category"":""fleisch""},{""name"":""Kartoffeln"",""amount"":2,""unit"":""Stück"",""category"":""getreide""},{""name"":""Sahne"",""amount"":2,""unit"":""Stück"",""category"":""milchprodukte""},{""name"":""Olivenöl"",""amount"":2,""unit"":""EL"",""category"":""sonstiges""},{""name"":""Salz & Pfeffer"",""amount"":1,""unit"":""Prise"",""category"":""gewuerze""}]","[""Alle Zutaten vorbereiten und schneiden."",""Fleisch würzen und in der Pfanne/Ofen garen."",""Weitere Zutaten hinzufügen und nach Rezeptart zubereiten."",""Anrichten und sofort servieren.""]","{""calories"":254,""protein"":19,""carbs"":24,""fat"":12,""fiber"":6}","[""auflauf"",""schwein"",""mediterran""]"
"r026","clara-pascal","Rindfleisch-Kartoffel-Auflauf mediterran","Abendessen","true","Rindfleisch-Kartoffel-Auflauf mediterran – ein gesundes, hausgemachtes Gericht für zwei Personen.","15","20","2","einfach","rind","auflauf","[{""name"":""Rinderhackfleisch"",""amount"":400,""unit"":""g"",""category"":""fleisch""},{""name"":""Kartoffeln"",""amount"":2,""unit"":""Stück"",""category"":""getreide""},{""name"":""Karotten"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Olivenöl"",""amount"":2,""unit"":""EL"",""category"":""sonstiges""},{""name"":""Salz & Pfeffer"",""amount"":1,""unit"":""Prise"",""category"":""gewuerze""}]","[""Alle Zutaten vorbereiten und schneiden."",""Fleisch würzen und in der Pfanne/Ofen garen."",""Weitere Zutaten hinzufügen und nach Rezeptart zubereiten."",""Anrichten und sofort servieren.""]","{""calories"":255,""protein"":20,""carbs"":25,""fat"":13,""fiber"":7}","[""auflauf"",""rind"",""mediterran""]"
"r027","clara-pascal","Paprika-Reis-Auflauf mediterran","Abendessen","true","Paprika-Reis-Auflauf mediterran – ein gesundes, hausgemachtes Gericht für zwei Personen.","16","21","2","einfach","haehnchen","auflauf","[{""name"":""Hähnchenbrust"",""amount"":300,""unit"":""g"",""category"":""fleisch""},{""name"":""Reis"",""amount"":2,""unit"":""Stück"",""category"":""getreide""},{""name"":""Paprika"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Tomaten"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Olivenöl"",""amount"":2,""unit"":""EL"",""category"":""sonstiges""},{""name"":""Salz & Pfeffer"",""amount"":1,""unit"":""Prise"",""category"":""gewuerze""}]","[""Alle Zutaten vorbereiten und schneiden."",""Fleisch würzen und in der Pfanne/Ofen garen."",""Weitere Zutaten hinzufügen und nach Rezeptart zubereiten."",""Anrichten und sofort servieren.""]","{""calories"":256,""protein"":21,""carbs"":26,""fat"":14,""fiber"":2}","[""auflauf"",""haehnchen"",""mediterran""]"
"r028","clara-pascal","Tomaten-Mozzarella-Auflauf mediterran","Abendessen","true","Tomaten-Mozzarella-Auflauf mediterran – ein gesundes, hausgemachtes Gericht für zwei Personen.","17","22","2","einfach","keins","auflauf","[{""name"":""Tomaten"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Zucchini"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Olivenöl"",""amount"":2,""unit"":""EL"",""category"":""sonstiges""},{""name"":""Salz & Pfeffer"",""amount"":1,""unit"":""Prise"",""category"":""gewuerze""}]","[""Alle Zutaten vorbereiten und schneiden."",""Gemüse vorbereiten und würzen."",""Weitere Zutaten hinzufügen und nach Rezeptart zubereiten."",""Anrichten und sofort servieren.""]","{""calories"":257,""protein"":22,""carbs"":27,""fat"":15,""fiber"":3}","[""auflauf"",""vegetarisch"",""mediterran""]"
